년도,2018년,2019년,2020년,2021년,2022년
서울시 전체,"569,353","561,436","570,418","582,988","592,256"
종로구,"27,999","27,823","27,741","27,588","27,859"
중구,"26,485","26,313","26,517","26,099","26,144"
용산구,"20,016","20,256","20,556","20,745","21,509"
성동구,"15,770","16,276","17,021","17,912","18,392"
광진구,"20,458","20,181","20,543","21,185","21,575"
동대문구,"20,382","19,486","19,576","19,870","20,165"
중랑구,"17,416","16,676","16,857","17,237","17,549"
성북구,"19,413","18,496","18,556","19,024","19,368"
강북구,"15,828","15,120","15,405","15,670","15,753"
도봉구,"12,239","11,854","12,014","12,326","12,365"
노원구,"18,377","18,045","18,337","18,666","18,717"
은평구,"18,396","18,058","18,537","19,276","19,584"
서대문구,"18,218","17,613","17,676","17,898","18,142"
마포구,"36,228","36,500","36,989","37,900","39,104"
양천구,"16,121","15,560","15,922","16,431","16,589"
강서구,"24,617","25,575","26,559","28,011","28,893"
구로구,"20,663","19,252","19,385","19,803","20,174"
금천구,"14,046","13,823","14,084","14,585","15,019"
영등포구,"30,213","29,795","30,257","30,988","31,505"
동작구,"17,258","17,327","17,296","17,298","17,213"
관악구,"22,915","22,612","23,192","23,835","23,853"
서초구,"31,577","29,893","30,007","30,032","30,057"
강남구,"51,251","51,975","53,057","54,677","55,867"
송파구,"32,184","32,475","33,480","34,502","35,175"
강동구,"21,283","20,452","20,854","21,430","21,685"
